Id,Label,Category,Name
0,Abdul Latif Jameel Community Initiatives International Ltd,Private Sector Entities,Abdul Latif Jameel Community Initiatives International Ltd
1,Acted,Non Governmental Organizations,Acted
2,Afghanistan,Member States - Voluntary Specified,Afghanistan
3,Africa - Regional Office,Recep_Regional Office,
4,Africa Re Foundation,Private Sector Entities,Africa Re Foundation
5,African Development Bank Group,Development Banks and Funds,African Development Bank Group
6,"Agence Francaise de Développement (AFD), France",Member States - Voluntary Specified,France
7,"Agriculture and Agri-food Canada (AAFC), Canada",Member States - Voluntary Specified,Canada
8,Albania,Recep_State,
9,Algeria,Recep_State,
10,Alliance for Health Policy and Systems Research (AHPSR),Others,Alliance for Health Policy and Systems Research (AHPSR)
11,"Alliance for Public Health, Ukraine",Non Governmental Organizations,"Alliance for Public Health, Ukraine"
12,American Childhood Cancer Organization,Non Governmental Organizations,American Childhood Cancer Organization
13,American Samoa,Recep_State,
14,American Society for Clinical Pathology,Philanthropic Foundations,American Society for Clinical Pathology
15,Americas - Regional Office,Recep_Regional Office,
16,Angola,Member States - Voluntary Specified,Angola
17,Antigua and Barbuda,Recep_State,
18,"AO Foundation, Switzerland",Philanthropic Foundations,"AO Foundation, Switzerland"
19,Apple Inc.,Private Sector Entities,Apple Inc.
20,Argentina,Recep_State,
21,Armenia,Recep_State,
22,Asia-Europe Foundation (ASEF),Intergovernmental Organizations,Asia-Europe Foundation (ASEF)
23,Asian Development Bank,Development Banks and Funds,Asian Development Bank
24,Assessed Contributions,Assessed Contributions,Assessed Contributions
25,Australian Federation of AIDS Organisations (AFAO),Non Governmental Organizations,Australian Federation of AIDS Organisations (AFAO)
26,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Member States - Voluntary Specified,Australia
27,Austria,Member States - Voluntary Specified,Austria
28,Autism Speaks,Non Governmental Organizations,Autism Speaks
29,Azerbaijan,Member States - Voluntary Specified,Azerbaijan
30,Bahamas,Recep_State,
31,Bahrain,Recep_State,
32,Bangladesh,Member States - Voluntary Specified,Bangladesh
33,Barbados,Recep_State,
34,Bayer AG,Private Sector Entities,Bayer AG
35,Belarus,Recep_State,
36,Belgium,Member States - Voluntary Specified,Belgium
37,Belize,Recep_State,
38,Benin,Member States - Voluntary Specified,Benin
39,Bernard van Leer Foundation (BvLF),Philanthropic Foundations,Bernard van Leer Foundation (BvLF)
40,Bhutan,Member States - Voluntary Specified,Bhutan
41,Big Heart Foundation (TBHF),Philanthropic Foundations,Big Heart Foundation (TBHF)
42,Bill & Melinda Gates Foundation,Philanthropic Foundations,Bill & Melinda Gates Foundation
43,Bloomberg Family Foundation,Philanthropic Foundations,Bloomberg Family Foundation
44,Bolivia (Plurinational State of),Recep_State,
45,Borrow Dental Milk Foundation,Non Governmental Organizations,Borrow Dental Milk Foundation
46,Bosnia and Herzegovina,Recep_State,
47,Botswana,Member States - Voluntary Specified,Botswana
48,Brazil,Recep_State,
49,Bridges to Development,Non Governmental Organizations,Bridges to Development
50,"British Embassy, Cairo, Egypt of the Foreign and Commonwealth Office",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
51,Brunei Darussalam,Recep_State,
52,Bulgaria,Recep_State,
53,"Bundesamt für Umwelt (BAFU), Switzerland",Member States - Voluntary Specified,Switzerland
54,Burkina Faso,Member States - Voluntary Specified,Burkina Faso
55,Burundi,Recep_State,
56,Cabo Verde,Recep_State,
57,Cambodia,Recep_State,
58,Cameroon,Member States - Voluntary Specified,Cameroon
59,Cameroon Telecommunications (CAMTEL),Member States - Voluntary Specified,Cameroon
60,Canadian Food Inspection Agency (CFIA),Member States - Voluntary Specified,Canada
61,Canadian Institutes of Health Research,Member States - Voluntary Specified,Canada
62,Carter Center,Non Governmental Organizations,Carter Center
63,Catholic Relief Services,Non Governmental Organizations,Catholic Relief Services
64,CDC Foundation,Philanthropic Foundations,CDC Foundation
65,Center for Disease Analysis Foundation (CDAF),Philanthropic Foundations,Center for Disease Analysis Foundation (CDAF)
66,"Centers for Disease Control and Prevention (CDC), United States of America",Member States - Voluntary Specified,United States of America
67,Central African Republic,Member States - Voluntary Specified,Central African Republic
68,Central European Initiative,Intergovernmental Organizations,Central European Initiative
69,"Central Finance and Contracts Unit (CFCU), Türkiye",Member States - Voluntary Specified,Türkiye
70,Chad,Member States - Voluntary Specified,Chad
71,Chiesi Foundation,Private Sector Entities,Chiesi Farmaceutici S.p.A.
72,Childhood Cancer International (CCI),Non Governmental Organizations,Childhood Cancer International (CCI)
73,Children's Investment Fund Foundation (UK),Philanthropic Foundations,Children's Investment Fund Foundation (UK)
74,Chile,Recep_State,
75,China,Member States - Voluntary Specified,China
76,China Medical Board (CMB),Philanthropic Foundations,China Medical Board (CMB)
77,Christoffel-Blindenmission,Non Governmental Organizations,Christoffel-Blindenmission
78,Clean Air Fund,Philanthropic Foundations,Clean Air Fund
79,Clinton Health Access Initiative,Philanthropic Foundations,Clinton Health Access Initiative
80,Colombia,Recep_State,
81,Comoros,Member States - Voluntary Specified,Comoros
82,Congo,Recep_State,
83,"Consumers, Health, Agriculture and Food Executive Agency (CHAFEA), European Commission",Intergovernmental Organizations,European Commission
84,Cook Islands,Recep_State,
85,Cooperazione Italiana - Direzione Generale per la Cooperazione allo Sviluppo (DGCS),Member States - Voluntary Specified,"Ministry of Foreign Affairs, Italy"
86,Core Voluntary Contributions,Core Voluntary Contributions,Core Voluntary Contributions
87,Costa Rica,Recep_State,
88,Côte d'Ivoire,Member States - Voluntary Specified,Côte d'Ivoire
89,COVID-19 Solidarity Fund,COVID-19 Solidarity Fund,COVID-19 Solidarity Fund
90,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund
91,CRDF Global,Non Governmental Organizations,CRDF Global
92,Croatia,Recep_State,
93,Crown Agents Services Limited,Private Sector Entities,Crown Agents Services Limited
94,Cuba,Recep_State,
95,Cyprus,Member States - Voluntary Specified,Cyprus
96,Czechia,Recep_State,
97,David and Lucile Packard Foundation,Philanthropic Foundations,David and Lucile Packard Foundation
98,"Defense Threat Reduction Agency (DTRA), United States of America",Member States - Voluntary Specified,United States of America
99,Democratic People's Republic of Korea,Recep_State,
100,Democratic Republic of the Congo,Member States - Voluntary Specified,Democratic Republic of the Congo
101,Denmark,Member States - Voluntary Specified,Denmark
102,"Department for International Development (DFID), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
103,"Department of Communications, Climate Action and Environment, Ireland",Member States – Voluntary Thematic,Ireland
104,"Department of Foreign Affairs and Trade (DFAT), Australia",Member States - Voluntary Specified,Australia
105,"Department of Foreign Affairs, Trade and Development (DFATD), Canada",Member States - Voluntary Specified,Canada
106,"Department of Health and Social Care, United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
107,"Department of Health, Philippines",Member States - Voluntary Specified,Philippines
108,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), Germany",Member States - Voluntary Specified,Germany
109,"DG Education and Culture (EAC), European Commission",Intergovernmental Organizations,European Commission
110,"DG Environment, European Commission",Intergovernmental Organizations,European Commission
111,"DG for Climate Action (CLIMA), European Commission",Intergovernmental Organizations,"DG for Climate Action (CLIMA), European Commission"
112,"DG for Employment, Social Affairs and Inclusion, European Commission",Intergovernmental Organizations,European Commission
113,"DG for Health and Food Safety (SANTE), European Commission",Intergovernmental Organizations,European Commission
114,"DG for Health Emergency Preparedness and Response Authority (HERA), European Commission",Intergovernmental Organizations,European Commission
115,"DG for Neighbourhood and Enlargement Negotiations (NEAR), European Commission",Intergovernmental Organizations,European Commission
116,"DG for Research and Innovation, European Commission",Intergovernmental Organizations,European Commission
117,"DG for Trade, European Commission",Intergovernmental Organizations,European Commission
118,"DG Structural Reform Support, European Commission",Intergovernmental Organizations,European Commission
119,"Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO), European Commission",Intergovernmental Organizations,European Commission
120,"Directorate-General for International Partnerships (INTPA), European Commission",Intergovernmental Organizations,European Commission
121,Djibouti,Recep_State,
122,Dominica,Recep_State,
123,Dominican Republic,Recep_State,
124,Eastern Mediterranean - Regional Office,Recep_Regional Office,
125,Economic Community of Central African States (ECCAS),Intergovernmental Organizations,Economic Community of Central African States (ECCAS)
126,Economic Research Institute for Asean & East Asia (ERIA),Academic Institutions,Economic Research Institute for Asean & East Asia (ERIA)
127,Ecuador,Recep_State,
128,Edmond J. Safra Foundation,Philanthropic Foundations,Edmond J. Safra Foundation
129,Egypt,Member States - Voluntary Specified,Egypt
130,"Eisai Co., Ltd.",Private Sector Entities,"Eisai Co., Ltd."
131,El Salvador,Recep_State,
132,Eleanor Crook Foundation,Philanthropic Foundations,Eleanor Crook Foundation
133,Elrha,Non Governmental Organizations,Elrha
134,Elton John AIDS Foundation Inc.,Philanthropic Foundations,Elton John AIDS Foundation Inc.
135,"Emilia Romagna, Italy",Local Governments,"Emilia Romagna, Italy"
136,Employment and Social Development Canada (ESDC),Member States - Voluntary Specified,Employment and Social Development Canada (ESDC)
137,"Enabel - Belgian Development Agency, Belgium",Member States - Voluntary Specified,Belgium
138,EnableMe,Philanthropic Foundations,EnableMe
139,Engenderhealth,Non Governmental Organizations,Engenderhealth
140,Equatorial Guinea,Member States - Voluntary Specified,Equatorial Guinea
141,Eritrea,Recep_State,
142,Estonia,Member States - Voluntary Specified,Estonia
143,Eswatini,Member States - Voluntary Specified,Eswatini
144,Ethiopia,Recep_State,
145,Europe - Regional Office,Recep_Regional Office,
146,European and Developing Countries Clinical Trials Partnership,Partnerships,European and Developing Countries Clinical Trials Partnership
147,European Hearing Instrument Manufacturers Association (EHIMA),Private Sector Entities,European Hearing Instrument Manufacturers Association (EHIMA)
148,European Investment Bank,Development Banks and Funds,European Investment Bank
149,European Respiratory Society (ERS),Non Governmental Organizations,European Respiratory Society (ERS)
150,"European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (ESCEO)",Non Governmental Organizations,"European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (ESCEO)"
151,European Society for Medical Oncology,Non Governmental Organizations,European Society for Medical Oncology
152,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN),Partnerships,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN)
153,Faculty of Nursing and Midwifery - Royal College of Surgeons Ireland (RCSI),Academic Institutions,Faculty of Nursing and Midwifery - Royal College of Surgeons Ireland (RCSI)
154,"Federal Foreign Office, Germany",Member States - Voluntary Specified,Germany
155,"Federal Ministry for Economic Cooperation and Development (BMZ), Germany",Member States - Voluntary Specified,Germany
156,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety, Germany",Member States - Voluntary Specified,Germany
157,"Federal Office of Public Health (FOPH), Switzerland",Member States - Voluntary Specified,Switzerland
158,"Federal Public Service of Foreign Affairs, Foreign Trade and Development Cooperation, Belgium",Member States – Voluntary Thematic,Belgium
159,Fiji,Recep_State,
160,Finland,Member States - Voluntary Specified,Finland
161,Fondation Botnar (FB),Philanthropic Foundations,Fondation Botnar (FB)
162,Fondation d'Harcourt,Philanthropic Foundations,Fondation d'Harcourt
163,Fondazione Telecom Italia,Private Sector Entities,Fondazione Telecom Italia
164,Food and Agriculture Organization (FAO),United Nations Organizations,Food and Agriculture Organization (FAO)
165,"Food and Drug Administration (USFDA), United States of America",Member States - Voluntary Specified,United States of America
166,"Food Standards Agency, United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
167,"Foreign, Commonwealth & Development Office (FCDO), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
168,Foundation for Innovative New Diagnostics (FIND),Non Governmental Organizations,Foundation for Innovative New Diagnostics (FIND)
169,France,Member States - Voluntary Specified,France
170,Fred Hollows Foundation (FHF),Non Governmental Organizations,Fred Hollows Foundation (FHF)
171,French Polynesia,Recep_State,
172,Friends of Research4Life,Philanthropic Foundations,Friends of Research4Life
173,Fundacio Support-Girona,Non Governmental Organizations,Fundacio Support-Girona
174,Fundación Anesvad,Non Governmental Organizations,Fundación Anesvad
175,"Fundacion Mundo Sano, Spain",Private Sector Entities,"Fundacion Mundo Sano, Spain"
176,Fundación Probitas,Private Sector Entities,Fundación Probitas
177,Gabon,Recep_State,
178,Gambia,Recep_State,
179,"Gates Ventures, LLC",Private Sector Entities,"Gates Ventures, LLC"
180,GAVI Alliance,Partnerships,GAVI Alliance
181,"Generalitat de Catalunya, Spain",Local Governments,"Generalitat de Catalunya, Spain"
182,Georgia,Recep_State,
183,Germany,Member States – Voluntary Thematic,Germany
184,Ghana,Recep_State,
185,Gilead Sciences Inc.,Private Sector Entities,Gilead Sciences Inc.
186,GlaxoSmithKline (GSK),Private Sector Entities,GlaxoSmithKline (GSK)
187,Global Affairs Canada,Member States - Voluntary Specified,Canada
188,Global Alliance for TB Drug Development,Non Governmental Organizations,Global Alliance for TB Drug Development
189,Global Antibiotic Research & Development Partnership (GARDP),Non Governmental Organizations,Global Antibiotic Research & Development Partnership (GARDP)
190,Global Disability Innovation Hub,Academic Institutions,Global Disability Innovation Hub
191,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)",Partnerships,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)"
192,Global Health Development,Intergovernmental Organizations,Global Health Development
193,Gojo Industries Inc.,Private Sector Entities,Gojo Industries Inc.
194,Good Ventures Foundation (GVF),Philanthropic Foundations,Good Ventures Foundation (GVF)
195,"Government of Flanders, Belgium",Local Governments,"Government of Flanders, Belgium"
196,"Government of Wallonia, Belgium",Local Governments,"Government of Wallonia, Belgium"
197,Greece,Member States - Voluntary Specified,Greece
198,Grenada,Recep_State,
199,Guatemala,Recep_State,
200,Guinea,Member States - Voluntary Specified,Guinea
201,Guinea-Bissau,Member States - Voluntary Specified,Guinea-Bissau
202,Guttmacher Institute,Non Governmental Organizations,Guttmacher Institute
203,Guyana,Recep_State,
204,Haiti,Recep_State,
205,Harvard School of Public Health (HSPH),Academic Institutions,Harvard School of Public Health (HSPH)
206,"Health Education England (HEE), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
207,"Health Insurance Review and Assessment Service, Republic of Korea (HIRA)",Member States - Voluntary Specified,Republic of Korea
208,Helmsley Charitable Trust,Philanthropic Foundations,Helmsley Charitable Trust
209,Hepatitis Fund,Philanthropic Foundations,Hepatitis Fund
210,Hilfsaktion Noma e.V.,Non Governmental Organizations,Hilfsaktion Noma e.V.
211,Honduras,Recep_State,
212,"Hong Kong, SAR, People’s Republic of China",Local Governments,"Hong Kong, SAR, People’s Republic of China"
213,Hovid Berhad,Private Sector Entities,Hovid Berhad
214,Hungary,Recep_State,
215,ICTRP Access Fee,Others,ICTRP Access Fee
216,Ikea Foundation,Private Sector Entities,Ikea Foundation
217,Imperial College of Science Technology and Medicine,Academic Institutions,Imperial College of Science Technology and Medicine
218,India,Member States – Voluntary Thematic,India
219,Indonesia,Member States - Voluntary Specified,Indonesia
220,"Institut National de la Santé et la Recherche Medicale (INSERM), France",Member States - Voluntary Specified,France
221,Institute of Living,Non Governmental Organizations,Institute of Living
222,Interest Proxy Donor,Others,Interest Proxy Donor
223,International Development Association (IDA),Development Banks and Funds,World Bank
224,International Development Law Organization,Intergovernmental Organizations,International Development Law Organization
225,International Development Research Centre (IDRC),Academic Institutions,International Development Research Centre (IDRC)
226,International Labour Organization (ILO),United Nations Organizations,International Labour Organization (ILO)
227,International League against Epilepsy,Non Governmental Organizations,International League against Epilepsy
228,International Organization for Migration (IOM),United Nations Organizations,International Organization for Migration (IOM)
229,International Renewable Energy Association (IRENA),Intergovernmental Organizations,International Renewable Energy Association (IRENA)
230,International Society for Prosthetics and Orthotics (ISPO),Non Governmental Organizations,International Society for Prosthetics and Orthotics (ISPO)
231,International Society of Audiology (AUDI),Non Governmental Organizations,International Society of Audiology (AUDI)
232,International Telecommunication Union (ITU),United Nations Organizations,International Telecommunication Union (ITU)
233,International Vaccine Institute (IVI),Non Governmental Organizations,International Vaccine Institute (IVI)
234,International Water Association (IWA),Non Governmental Organizations,International Water Association (IWA)
235,INTOSAI Development Initiative (IDI),Non Governmental Organizations,INTOSAI Development Initiative (IDI)
236,Iodine Global Network,Non Governmental Organizations,Iodine Global Network
237,Iran (Islamic Republic of),Member States - Voluntary Specified,Iran (Islamic Republic of)
238,Iraq,Recep_State,
239,Ireland,Member States - Voluntary Specified,Ireland
240,Irish Aid,Member States - Voluntary Specified,Ireland
241,Islamic Development Bank,Development Banks and Funds,Islamic Development Bank
242,Isle of Man,Local Governments,Isle of Man
243,Israel,Member States - Voluntary Specified,Israel
244,"Istituto Nazionale per la promozione della salute delle popolazioni Migranti e per il contrasto delle malattie della Povertà (INMP), Italy",Member States - Voluntary Specified,Italy
245,Italy,Member States - Voluntary Specified,Italy
246,Jamaica,Recep_State,
247,Janhavi Nilekani,Individuals,Janhavi Nilekani
248,Japan,Member States - Voluntary Specified,Japan
249,Japan Dental Association,Private Sector Entities,Japan Dental Association
250,Japanese International Cooperation Agency (JICA),Member States - Voluntary Specified,Japan
251,Japanese Nursing Association,Private Sector Entities,Japanese Nursing Association
252,Jhpiego Corporation,Non Governmental Organizations,Jhpiego Corporation
253,Johann Jacobs Foundation,Philanthropic Foundations,Johann Jacobs Foundation
254,Johns Hopkins University,Academic Institutions,Johns Hopkins University
255,"Johnson & Johnson Foundation, Scotland",Private Sector Entities,"Johnson & Johnson Foundation, Scotland"
256,Johnson & Johnson Services Inc.,Private Sector Entities,Johnson & Johnson
257,"Johnson and Johnson Family of Companies Contribution Fund, Inc.",Private Sector Entities,"Johnson and Johnson Family of Companies Contribution Fund, Inc."
258,Joint United Nations Programme on HIV/AIDS (UNAIDS),United Nations Organizations,Joint United Nations Programme on HIV/AIDS (UNAIDS)
259,Jordan,Recep_State,
260,"Kanagawa Prefecture, Japan",Local Governments,"Kanagawa Prefecture, Japan"
261,"Karolinska Institutet, Sweden",Academic Institutions,"Karolinska Institutet, Sweden"
262,Kazakhstan,Member States - Voluntary Specified,Kazakhstan
263,Kenya,Member States - Voluntary Specified,Kenya
264,"KfW Entwicklungsbank, Germany",Member States - Voluntary Specified,Germany
265,King Baudouin Foundation United States (KBFUS),Philanthropic Foundations,King Baudouin Foundation United States (KBFUS)
266,"King Salman Humanitarian Aid & Relief Center, KSrelief",Member States - Voluntary Specified,Saudi Arabia
267,King's College London,Academic Institutions,King's College London
268,Kiribati,Recep_State,
269,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)",Private Sector Entities,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)"
270,Korea Centers for Disease Control and Prevention,Member States – Voluntary Thematic,Republic of Korea
271,Korea International Cooperation Agency (KOICA),Member States - Voluntary Specified,Republic of Korea
272,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH),Non Governmental Organizations,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH)
273,Kuwait,Member States - Voluntary Specified,Kuwait
274,Kuwait Fund for Arab Economic Development (KFAED),Member States - Voluntary Specified,Kuwait
275,Kyrgyzstan,Recep_State,
276,"La Métropole Grand Lyon, France",Local Governments,"La Métropole Grand Lyon, France"
277,Laerdal Foundation,Philanthropic Foundations,Laerdal Foundation
278,Lao People's Democratic Republic,Member States - Voluntary Specified,Lao People's Democratic Republic
279,Latvia,Recep_State,
280,Lebanon,Member States - Voluntary Specified,Lebanon
281,LEGO Foundation,Private Sector Entities,LEGO Foundation
282,Lesotho,Member States - Voluntary Specified,Lesotho
283,Liberia,Member States - Voluntary Specified,Liberia
284,Libya,Recep_State,
285,L'institut de France,Non Governmental Organizations,L'institut de France
286,Lions Clubs International Foundation,Philanthropic Foundations,Lions Clubs International Foundation
287,Lithuania,Recep_State,
288,Liverpool School of Tropical Medicine,Academic Institutions,Liverpool School of Tropical Medicine
289,London School of Hygiene and Tropical Medicine,Academic Institutions,London School of Hygiene and Tropical Medicine
290,"Loring, Wolcott & Coolidge Trust, LLC",Private Sector Entities,"Loring, Wolcott & Coolidge Trust, LLC"
291,Luxembourg,Member States - Voluntary Specified,Luxembourg
292,"Macao, SAR, People’s Republic of China",Local Governments,"Macao, SAR, People’s Republic of China"
293,Madagascar,Member States - Voluntary Specified,Madagascar
294,"Mahidol University, Thailand",Academic Institutions,"Mahidol University, Thailand"
295,Malawi,Member States - Voluntary Specified,Malawi
296,Malaysia,Member States - Voluntary Specified,Malaysia
297,Maldives,Recep_State,
298,Male Contraceptive Initiative (MCI),Non Governmental Organizations,Male Contraceptive Initiative (MCI)
299,Mali,Member States - Voluntary Specified,Mali
300,Malta,Member States - Voluntary Specified,Malta
301,Mamta Health Institute for Mother and Child,Non Governmental Organizations,Mamta Health Institute for Mother and Child
302,Marathon EG Production Ltd.,Private Sector Entities,Marathon EG Production Ltd.
303,Marius Nasta National Institute for Pneumology,Academic Institutions,Marius Nasta National Institute for Pneumology
304,Marshall Islands,Recep_State,
305,Mauritania,Recep_State,
306,Mauritius,Recep_State,
307,Médecins Sans Frontières (MSF),Non Governmental Organizations,Médecins Sans Frontières (MSF)
308,Medicines Development for Global Health Limited (MDGH),Private Sector Entities,Medicines Development for Global Health Limited (MDGH)
309,Mental Health Commission Of Canada (MHCC),Non Governmental Organizations,Mental Health Commission Of Canada (MHCC)
