Id,Label,Category,Name
310,"Merck & Co., Inc.",Private Sector Entities,"Merck & Co., Inc."
311,Merck KGAA,Private Sector Entities,Merck KGAA
312,"Merck Sharp and Dohme Corp.,",Private Sector Entities,"Merck & Co., Inc."
313,"Met Office, United Kingdom",Member States – Voluntary Thematic,United Kingdom of Great Britain and Northern Ireland
314,Mexico,Member States - Voluntary Specified,Mexico
315,Micronesia,Recep_State,
316,"Ministry for Europe and Foreign Affairs (MEAE), France",Member States – Voluntary Thematic,France
317,"Ministry for Foreign Affairs, Iceland",Member States - Voluntary Specified,Iceland
318,"Ministry for Housing, Spatial Planning and the Environment (VROM), Netherlands",Member States - Voluntary Specified,Netherlands
319,"Ministry of Agriculture and Forestry (MMM), Finland",Member States - Voluntary Specified,Finland
320,"Ministry Of Agriculture, Forestry And Fisheries, Japan (MAFF)",Member States - Voluntary Specified,Japan
321,"Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homeopathy, India (AYUSH)",Member States - Voluntary Specified,India
322,"Ministry of Civil Defence, Emergencies and Disaster Relief, Russian Federation",Member States - Voluntary Specified,Russian Federation
323,"Ministry of Development Cooperation and Humanitarian Affairs, Luxembourg",Member States - Voluntary Specified,Luxembourg
324,"Ministry of Economy and Finance (MEF), Italy",Member States - Voluntary Specified,Italy
325,"Ministry of Environment (MEV), Republic of Korea",Member States - Voluntary Specified,Republic of Korea
326,"Ministry of Environmental Protection, Republic of Serbia",Member States - Voluntary Specified,Serbia
327,"Ministry of Finance, Egypt",Member States - Voluntary Specified,Egypt
328,"Ministry of Finance, Russian Federation",Member States - Voluntary Specified,Russian Federation
329,"Ministry of Finance, Saudi Arabia",Member States – Voluntary Thematic,Saudi Arabia
330,"Ministry Of Food And Drug Safety, Republic of Korea",Member States - Voluntary Specified,Republic of Korea
331,"Ministry of Foreign Affairs & International Cooperation, United Arab Emirates",Member States - Voluntary Specified,United Arab Emirates
332,"Ministry of Foreign Affairs and Cooperation, Spain",Member States - Voluntary Specified,Spain
333,"Ministry of Foreign Affairs and Trade - Aid Programme, New Zealand",Member States - Voluntary Specified,New Zealand
334,Ministry of Foreign Affairs of the Czech Republic,Member States - Voluntary Specified,Czechia
335,Ministry of Foreign Affairs Viet Nam,Member States - Voluntary Specified,Viet Nam
336,"Ministry of Foreign Affairs, China (People's Republic of)",Member States - Voluntary Specified,China
337,"Ministry of Foreign Affairs, Denmark",Member States – Voluntary Thematic,Denmark
338,"Ministry of Foreign Affairs, Ireland",Member States - Voluntary Specified,Ireland
339,"Ministry of Foreign Affairs, Italy",Member States - Voluntary Specified,Italy
340,"Ministry of Foreign Affairs, Japan",Member States - Voluntary Specified,Japan
341,"Ministry of Foreign Affairs, Monaco",Member States - Voluntary Specified,Monaco
342,"Ministry of Foreign Affairs, Netherlands",Member States - Voluntary Specified,Netherlands
343,"Ministry of Foreign Affairs, Norway",Member States - Voluntary Specified,Norway
344,"Ministry of Foreign Affairs, Portugal",Member States – Voluntary Thematic,Portugal
345,"Ministry of Foreign Affairs, Regional Integration and International Trade, Mauritius",Member States - Voluntary Specified,Mauritius
346,"Ministry of Foreign Affairs, Republic of Korea",Member States - Voluntary Specified,Republic of Korea
347,"Ministry of Foreign Affairs, Romania",Member States - Voluntary Specified,Romania
348,"Ministry Of Foreign Affairs, Sweden",Member States - Voluntary Specified,Sweden
349,"Ministry Of Foreign Affairs, Thailand",Member States - Voluntary Specified,Thailand
350,"Ministry Of Foreign Affairs, Türkiye",Member States - Voluntary Specified,Türkiye
351,"Ministry of Foreign and European Affairs, France",Member States - Voluntary Specified,France
352,"Ministry of Foreign and European Affairs, Republic of Slovenia",Member States - Voluntary Specified,Slovenia
353,"Ministry of Higher Education, Research and Innovation (MESRI), France",Member States - Voluntary Specified,France
354,"Ministry of Human Capacities, Hungary",Member States - Voluntary Specified,Hungary
355,"Ministry of Infrastructure and Water Management, Netherlands",Member States - Voluntary Specified,Netherlands
356,"Ministry of Interior, Hungary",Member States - Voluntary Specified,Hungary
357,Miscellaneous,Miscellaneous,Miscellaneous
358,Miscellaneous Fees for International Nonproprietary Names (INN),Private Sector Entities,Miscellaneous Fees for International Nonproprietary Names (INN)
359,Miscellaneous Healthy Cities,Others,Miscellaneous Healthy Cities
360,Mongolia,Recep_State,
361,Montenegro,Recep_State,
362,Morocco,Recep_State,
363,Mozambique,Member States - Voluntary Specified,Mozambique
364,Mr. Michael David Lincoln Chowen CBE DL,Individuals,Mr. Michael David Lincoln Chowen CBE DL
365,MTN Foundation,Private Sector Entities,MTN Foundation
366,Myanmar,Recep_State,
367,Namibia,Recep_State,
368,"National Administration of Traditional Chinese Medicine (NATCM), China (People's Republic of)",Member States - Voluntary Specified,China
369,"National Agency for the Control of AIDS (NACA), Nigeria",Member States - Voluntary Specified,Nigeria
370,National Hospital Organization Kurihama Medical and Addiction Center,Non Governmental Organizations,National Hospital Organization Kurihama Medical and Addiction Center
371,"National Institute of Infectious Diseases Prof.Dr.Matei Bals, Romania",Member States - Voluntary Specified,Romania
372,"National Institute of Malariology, Parasitology and Entomology (NIMPE)",Member States - Voluntary Specified,Viet Nam
373,"National Institute of Parasitic Diseases, China CDC (Chinese Center for Tropical Diseases Research)",Member States - Voluntary Specified,China
374,"National Institute of Public Health, Romania",Member States - Voluntary Specified,Romania
375,"National Institutes of Health (NIH), United States of America",Member States - Voluntary Specified,United States of America
376,"National Malaria Elimination Program (NMEP), Nigeria",Member States - Voluntary Specified,Nigeria
377,"National Medical Products Administration (NMPA), China",Member States - Voluntary Specified,China
378,"National Oil Corporation, Libya",Member States - Voluntary Specified,Libya
379,National Philanthropic Trust (NPT),Non Governmental Organizations,National Philanthropic Trust (NPT)
380,"National Primary Health Care Development Agency (NPHCDA), Nigeria",Member States - Voluntary Specified,Nigeria
381,"National Rehabilitation Centre (NRC) of Abu Dhabi, United Arab Emirates",Member States - Voluntary Specified,United Arab Emirates
382,Nauru,Recep_State,
383,Nepal,Recep_State,
384,Netherlands (Kingdom of the),Member States – Voluntary Thematic,Netherlands (Kingdom of the)
385,"Netherlands Enterprise Agency (NEA), Netherlands",Member States - Voluntary Specified,Netherlands
