Id,Label,Category,Name
123,"DG for Health and Food Safety (SANTE), European Commission",Intergovernmental Organizations,European Commission
124,"DG for Neighbourhood and Enlargement Negotiations (NEAR), European Commission",Intergovernmental Organizations,European Commission
125,"DG for Trade, European Commission",Intergovernmental Organizations,European Commission
126,"DG Structural Reform Support, European Commission",Intergovernmental Organizations,European Commission
127,"Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO), European Commission",Intergovernmental Organizations,European Commission
128,"Directorate-General for International Partnerships (INTPA), European Commission",Intergovernmental Organizations,European Commission
129,Diversey Inc.,Private Sector Entities,Diversey Inc.
130,Djibouti,,
131,Dominica,,
132,Dominican Republic,,
133,Donna L. Rengh Revocable Trust,Others,Donna L. Rengh Revocable Trust
134,East African Community,Intergovernmental Organizations,East African Community
135,Eastern Mediterranean - Regional Office,,
136,Economic Research Institute for Asean & East Asia (ERIA),Academic Institutions,Economic Research Institute for Asean & East Asia (ERIA)
137,Ecuador,,
138,Edmond J. Safra Foundation,Philanthropic Foundations,Edmond J. Safra Foundation
139,Egypt,Member States - Voluntary Specified,Egypt
140,"Eisai Co., Ltd.",Private Sector Entities,"Eisai Co., Ltd."
141,El Salvador,,
142,Eleanor Crook Foundation,Philanthropic Foundations,Eleanor Crook Foundation
143,Elrha,Non Governmental Organizations,Elrha
144,Elyptol,Private Sector Entities,Elyptol
145,"Enabel - Belgian Development Agency, Belgium",Member States - Voluntary Specified,Belgium
146,End Fund,Non Governmental Organizations,End Fund
147,Equatorial Guinea,Member States - Voluntary Specified,Equatorial Guinea
148,Eritrea,Member States - Voluntary Specified,Eritrea
149,Estate of EB Spanjer,Individuals,Estate of EB Spanjer
150,Estonia,,
151,Eswatini,Member States - Voluntary Specified,Eswatini
152,Ethiopia,,
153,Europe - Regional Office,,
154,European and Developing Countries Clinical Trials Partnership,Partnerships,European and Developing Countries Clinical Trials Partnership
155,European Hearing Instrument Manufacturers Association (EHIMA),Private Sector Entities,European Hearing Instrument Manufacturers Association (EHIMA)
156,European Investment Bank,Development Banks and Funds,European Investment Bank
157,European Respiratory Society (ERS),Non Governmental Organizations,European Respiratory Society (ERS)
158,European Society for Medical Oncology,Non Governmental Organizations,European Society for Medical Oncology
159,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN),Partnerships,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN)
160,Expertise France,Member States - Voluntary Specified,France
161,External Quality Assurance Assessment Scheme (EQAAS) Fees,Private Sector Entities,External Quality Assurance Assessment Scheme (EQAAS) Fees
162,Family Health International (FHI),Non Governmental Organizations,Family Health International (FHI)
163,Famine Relief Fund,Philanthropic Foundations,Famine Relief Fund
164,"Federal Foreign Office, Germany",Member States - Voluntary Specified,Germany
165,"Federal Institute For Drugs and Medical Devices, Germany",Member States - Voluntary Specified,Germany
166,"Federal Ministry for Economic Cooperation and Development (BMZ), Germany",Member States - Voluntary Specified,Germany
167,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety, Germany",Member States - Voluntary Specified,Germany
168,"Federal Office of Public Health (FOPH), Switzerland",Member States - Voluntary Specified,Switzerland
169,"Federal Public Service of Foreign Affairs, Foreign Trade and Development Cooperation, Belgium",Member States - Voluntary Specified,Belgium
170,FIA Foundation,Non Governmental Organizations,FIA Foundation
171,Fiji,,
172,Finland,Member States - Voluntary Specified,Finland
173,Fondation Botnar (FB),Philanthropic Foundations,Fondation Botnar (FB)
174,Fondation d'Entreprise Sanofi Espoir,Private Sector Entities,Fondation d'Entreprise Sanofi Espoir
175,Fondation d'Harcourt,Philanthropic Foundations,Fondation d'Harcourt
176,Fonto De Vivo Sas,Private Sector Entities,Fonto De Vivo Sas
177,Food and Agriculture Organization (FAO),United Nations Organizations,Food and Agriculture Organization (FAO)
178,"Food and Drug Administration (USFDA), United States of America",Member States - Voluntary Specified,United States of America
179,"Food Standards Agency, United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
180,"Foreign, Commonwealth & Development Office (FCDO), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
181,Foundation for Innovative New Diagnostics (FIND),Non Governmental Organizations,Foundation for Innovative New Diagnostics (FIND)
182,Fountain House Inc.,Non Governmental Organizations,Fountain House Inc.
183,France,Member States - Voluntary Specified,France
184,Fred Hollows Foundation (FHF),Non Governmental Organizations,Fred Hollows Foundation (FHF)
185,French Polynesia,Local Governments,French Polynesia
186,Fundación Anesvad,Non Governmental Organizations,Fundación Anesvad
187,"Fundacion Mundo Sano, Spain",Private Sector Entities,"Fundacion Mundo Sano, Spain"
188,Fundación Probitas,Private Sector Entities,Fundación Probitas
189,Gabon,,
190,Gambia,,
191,"Gates Ventures, LLC",Private Sector Entities,"Gates Ventures, LLC"
192,GAVI Alliance,Partnerships,GAVI Alliance
193,"Generalitat de Catalunya, Spain",Local Governments,"Generalitat de Catalunya, Spain"
194,Georgia,,
195,Germany,Member States - Voluntary Specified,Germany
196,Ghana,,
197,Gharda Chemicals Limited,Private Sector Entities,Gharda Chemicals Limited
198,Gilead Sciences Inc.,Private Sector Entities,Gilead Sciences Inc.
199,GlaxoSmithKline (GSK),Private Sector Entities,GlaxoSmithKline (GSK)
200,Global Antibiotic Research & Development Partnership (GARDP),Non Governmental Organizations,Global Antibiotic Research & Development Partnership (GARDP)
201,Global Disability Innovation Hub,Academic Institutions,Global Disability Innovation Hub
202,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)",Partnerships,"Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM)"
203,Gojo Industries Inc.,Private Sector Entities,Gojo Industries Inc.
204,"Gongali Model Co. Ltd, Tanzania",Private Sector Entities,"Gongali Model Co. Ltd, Tanzania"
205,"Government of Flanders, Belgium",Local Governments,"Government of Flanders, Belgium"
206,Governors of The University of Calgary,Academic Institutions,Governors of The University of Calgary
207,Greece,Member States – Voluntary Thematic,Greece
208,Grenada,,
209,Guam,,
210,Guarany Industria e Commercio,Private Sector Entities,Guarany Industria e Commercio
211,Guatemala,,
212,Guinea,Member States - Voluntary Specified,Guinea
213,Guinea-Bissau,Member States - Voluntary Specified,Guinea-Bissau
214,Guyana,,
215,Haiti,,
216,Harvard School of Public Health (HSPH),Academic Institutions,Harvard School of Public Health (HSPH)
217,"Health Insurance Review and Assessment Service, Republic of Korea (HIRA)",Member States - Voluntary Specified,Republic of Korea
218,Hearing Conservation Council (HCC),Non Governmental Organizations,Hearing Conservation Council (HCC)
219,Hepatitis Fund,Philanthropic Foundations,Hepatitis Fund
220,Hilfsaktion Noma e.V.,Non Governmental Organizations,Hilfsaktion Noma e.V.
221,Hindustan Syringes & Medical Devices Ltd. (HMD),Private Sector Entities,Hindustan Syringes & Medical Devices Ltd. (HMD)
222,"Holy See, Rome",Others,"Holy See, Rome"
223,Honduras,,
224,"Hong Kong, SAR, People’s Republic of China",Local Governments,"Hong Kong, SAR, People’s Republic of China"
225,Hovid Berhad,Private Sector Entities,Hovid Berhad
226,Hungary,,
227,ICTRP Access Fee,Others,ICTRP Access Fee
228,Ikea Foundation,Private Sector Entities,Ikea Foundation
229,Imperial College of Science Technology and Medicine,Academic Institutions,Imperial College of Science Technology and Medicine
230,India,Member States - Voluntary Specified,India
231,Indonesia,Member States - Voluntary Specified,Indonesia
232,"Institut National de la Santé et la Recherche Medicale (INSERM), France",Member States - Voluntary Specified,France
233,"Institut National du Cancer (INCa), France",Member States - Voluntary Specified,France
234,International Atomic Energy Agency (IAEA),United Nations Organizations,International Atomic Energy Agency (IAEA)
235,International Company for Medical Necessities,Private Sector Entities,International Company for Medical Necessities
236,International Development Association (IDA),Development Banks and Funds,World Bank
237,International Development Law Organization,Intergovernmental Organizations,International Development Law Organization
238,International Federation of Anthroposophic Medical Associations,Non Governmental Organizations,International Federation of Anthroposophic Medical Associations
239,International League against Epilepsy,Non Governmental Organizations,International League against Epilepsy
240,International Medical Corps,Non Governmental Organizations,International Medical Corps
241,International Organization for Migration (IOM),Intergovernmental Organizations,International Organization for Migration (IOM)
242,International Society of Audiology (AUDI),Non Governmental Organizations,International Society of Audiology (AUDI)
243,International Telecommunication Union (ITU),United Nations Organizations,International Telecommunication Union (ITU)
244,International Union against Tuberculosis and Lung Disease (IUATLD),Non Governmental Organizations,International Union against Tuberculosis and Lung Disease (IUATLD)
245,International Vaccine Institute (IVI),Non Governmental Organizations,International Vaccine Institute (IVI)
246,International Water Association (IWA),Non Governmental Organizations,International Water Association (IWA)
247,Iran (Islamic Republic of),Member States - Voluntary Specified,Iran (Islamic Republic of)
248,Iraq,,
249,Irish Aid,Member States - Voluntary Specified,Ireland
250,Islamic Development Bank,Development Banks and Funds,Islamic Development Bank
251,Isle of Man,Local Governments,Isle of Man
252,Israel,Member States - Voluntary Specified,Israel
253,"Istituto Nazionale per la promozione della salute delle popolazioni Migranti e per il contrasto delle malattie della Povertà (INMP), Italy",Member States - Voluntary Specified,Italy
254,Italy,Member States - Voluntary Specified,Italy
255,Jamaica,,
256,Japan,Member States - Voluntary Specified,Japan
257,Japan Liaison of Oriental Medicine (JLOM),Non Governmental Organizations,Japan Liaison of Oriental Medicine (JLOM)
258,Japanese International Cooperation Agency (JICA),Member States - Voluntary Specified,Japan
259,Jhpiego Corporation,Non Governmental Organizations,Jhpiego Corporation
260,JMI Syringes & Medical Devices Ltd.,Private Sector Entities,JMI Syringes & Medical Devices Ltd.
261,John D. and Catherine T. Macarthur Foundation,Philanthropic Foundations,John D. and Catherine T. Macarthur Foundation
262,Johnson & Johnson Services Inc.,Private Sector Entities,Johnson & Johnson
263,"Johnson and Johnson Family of Companies Contribution Fund, Inc.",Private Sector Entities,"Johnson and Johnson Family of Companies Contribution Fund, Inc."
264,Joint United Nations Programme on HIV/AIDS (UNAIDS),United Nations Organizations,Joint United Nations Programme on HIV/AIDS (UNAIDS)
265,Jordan,,
266,"Kanagawa Prefecture, Japan",Local Governments,"Kanagawa Prefecture, Japan"
267,Kazakhstan,Member States - Voluntary Specified,Kazakhstan
268,Kenya,Member States - Voluntary Specified,Kenya
269,"KfW Entwicklungsbank, Germany",Member States - Voluntary Specified,Germany
270,King Baudouin Foundation United States (KBFUS),Philanthropic Foundations,King Baudouin Foundation United States (KBFUS)
271,"King Salman Humanitarian Aid & Relief Center, KSrelief",Member States - Voluntary Specified,Saudi Arabia
272,King's College London,Academic Institutions,King's College London
273,Kiribati,,
274,KNCV Tuberculosis Foundation,Philanthropic Foundations,KNCV Tuberculosis Foundation
275,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)",Private Sector Entities,"Kobe Group (Hyogo Prefecture Kobe Chamber of Commerce and Industry and Kobe Steel, Ltd.)"
276,Korea Centers for Disease Control and Prevention,Member States - Voluntary Specified,Republic of Korea
277,Korea International Cooperation Agency (KOICA),Member States - Voluntary Specified,Republic of Korea
278,Korea Suicide Prevention Center,Member States - Voluntary Specified,Republic of Korea
279,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH),Non Governmental Organizations,Korean Foundation for International Healthcare - Dr Lee Jong-Wook Memorial Fund (KOFIH)
280,Kuwait,Member States - Voluntary Specified,Kuwait
281,Kuwait Fund for Arab Economic Development (KFAED),Member States - Voluntary Specified,Kuwait
282,Kyrgyzstan,,
283,"L’Office National de Nutrition, (ONN) Madagascar",Member States - Voluntary Specified,Madagascar
284,"La Métropole Grand Lyon, France",Local Governments,"La Métropole Grand Lyon, France"
285,Laerdal Foundation,Philanthropic Foundations,Laerdal Foundation
286,Lao People's Democratic Republic,Member States - Voluntary Specified,Lao People's Democratic Republic
287,Latter-Day Saints (LDS) Charities,Non Governmental Organizations,Latter-Day Saints (LDS) Charities
288,Latvia,,
289,Lebanon,Member States - Voluntary Specified,Lebanon
290,Lesotho,Member States - Voluntary Specified,Lesotho
291,Liberia,Member States - Voluntary Specified,Liberia
292,Libya,Member States - Voluntary Specified,Libya
293,Lillian Lincoln Foundation,Philanthropic Foundations,Lillian Lincoln Foundation
294,Lions Clubs International Foundation,Philanthropic Foundations,Lions Clubs International Foundation
295,Lithuania,,
296,London School of Hygiene and Tropical Medicine,Academic Institutions,London School of Hygiene and Tropical Medicine
297,Lux-Development (Societé Luxembourgeoise pour la Cooperation Internationale),Member States - Voluntary Specified,Luxembourg
298,Luxembourg,Member States - Voluntary Specified,Luxembourg
299,"Macao, SAR, People’s Republic of China",Local Governments,"Macao, SAR, People’s Republic of China"
300,Madagascar,Member States - Voluntary Specified,Madagascar
301,"Mahidol University, Thailand",Academic Institutions,"Mahidol University, Thailand"
302,Malawi,,
303,Malaysia,Member States - Voluntary Specified,Malaysia
304,Maldives,,
305,Mali,Member States - Voluntary Specified,Mali
306,Malta,Member States - Voluntary Specified,Malta
307,Marathon EG Production Ltd.,Private Sector Entities,Marathon EG Production Ltd.
308,Marshall Islands,,
309,Mauritania,Member States - Voluntary Specified,Mauritania
310,Mauritius,,
311,Mectizan Donation Programme (MDP),Private Sector Entities,Mectizan Donation Programme (MDP)
312,Medicines Development for Global Health Limited (MDGH),Private Sector Entities,Medicines Development for Global Health Limited (MDGH)
313,Mental Health Commission Of Canada (MHCC),Non Governmental Organizations,Mental Health Commission Of Canada (MHCC)
314,"Merck & Co., Inc.",Private Sector Entities,"Merck & Co., Inc."
315,Merck KGAA,Private Sector Entities,Merck KGAA
316,"Merck Sharp and Dohme Corp.,",Private Sector Entities,"Merck & Co., Inc."
317,"Met Office, United Kingdom",Member States – Voluntary Thematic,United Kingdom of Great Britain and Northern Ireland
318,Mexico,Member States - Voluntary Specified,Mexico
319,Micronesia,,
320,"Ministry for Europe and Foreign Affairs (MEAE), France",Member States – Voluntary Thematic,France
321,"Ministry for Foreign Affairs, Iceland",Member States - Voluntary Specified,Iceland
322,"Ministry for Housing, Spatial Planning and the Environment (VROM), Netherlands",Member States - Voluntary Specified,Netherlands
323,"Ministry Of Agriculture, Forestry And Fisheries, Japan (MAFF)",Member States - Voluntary Specified,Japan
324,"Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homeopathy, India (AYUSH)",Member States - Voluntary Specified,India
325,"Ministry of Civil Defence, Emergencies and Disaster Relief, Russian Federation",Member States - Voluntary Specified,Russian Federation
326,"Ministry of Development Cooperation and Humanitarian Affairs, Luxembourg",Member States - Voluntary Specified,Luxembourg
327,"Ministry of Economy and Finance, Gabon",Member States - Voluntary Specified,Gabon
328,"Ministry of Environment (MEV), Republic of Korea",Member States - Voluntary Specified,Republic of Korea
329,"Ministry of Environmental Protection, Republic of Serbia",Member States - Voluntary Specified,Serbia
330,Ministry of Finance Libya,Member States - Voluntary Specified,Libya
331,"Ministry of Finance, Democratic Republic of the Congo",Member States - Voluntary Specified,Democratic Republic of the Congo
332,"Ministry of Finance, Russian Federation",Member States - Voluntary Specified,Russian Federation
333,"Ministry of Finance, Saudi Arabia",Member States - Voluntary Specified,Saudi Arabia
334,"Ministry Of Food And Drug Safety, Republic of Korea",Member States - Voluntary Specified,Republic of Korea
335,"Ministry of Foreign Affairs & International Cooperation, United Arab Emirates",Member States - Voluntary Specified,United Arab Emirates
336,"Ministry of Foreign Affairs and Cooperation, Spain",Member States - Voluntary Specified,Spain
337,"Ministry of Foreign Affairs and Trade - Aid Programme, New Zealand",Member States - Voluntary Specified,New Zealand
338,Ministry of Foreign Affairs of the Czech Republic,Member States - Voluntary Specified,Czechia
339,"Ministry of Foreign Affairs, China (People's Republic of)",Member States - Voluntary Specified,China
340,"Ministry of Foreign Affairs, Denmark",Member States - Voluntary Specified,Denmark
341,"Ministry of Foreign Affairs, Estonia",Member States - Voluntary Specified,Estonia
342,"Ministry of Foreign Affairs, Finland",Member States - Voluntary Specified,Finland
343,"Ministry of Foreign Affairs, Ireland",Member States - Voluntary Specified,Ireland
344,"Ministry of Foreign Affairs, Italy",Member States - Voluntary Specified,Italy
345,"Ministry of Foreign Affairs, Japan",Member States - Voluntary Specified,Japan
346,"Ministry of Foreign Affairs, Monaco",Member States – Voluntary Thematic,Monaco
347,"Ministry of Foreign Affairs, Netherlands",Member States - Voluntary Specified,Netherlands
348,"Ministry of Foreign Affairs, Norway",Member States - Voluntary Specified,Norway
349,"Ministry of Foreign Affairs, Portugal",Member States - Voluntary Specified,Portugal
350,"Ministry of Foreign Affairs, Republic of Korea",Member States - Voluntary Specified,Republic of Korea
351,"Ministry of Foreign Affairs, Romania",Member States - Voluntary Specified,Romania
352,"Ministry of Foreign Affairs, Russian Federation",Member States - Voluntary Specified,Russian Federation
353,"Ministry Of Foreign Affairs, Sweden",Member States - Voluntary Specified,Sweden
354,"Ministry Of Foreign Affairs, Thailand",Member States - Voluntary Specified,Thailand
355,"Ministry Of Foreign Affairs, Türkiye",Member States - Voluntary Specified,Turkey
356,"Ministry of Foreign and European Affairs, Croatia",Member States - Voluntary Specified,Croatia
357,"Ministry of Foreign and European Affairs, France",Member States - Voluntary Specified,France
358,"Ministry of Higher Education, Research and Innovation (MESRI), France",Member States - Voluntary Specified,France
359,"Ministry of Human Capacities, Hungary",Member States - Voluntary Specified,Hungary
360,"Ministry of Infrastructure and Water Management, Netherlands",Member States - Voluntary Specified,Netherlands
361,Miscellaneous,Miscellaneous,Miscellaneous
362,Miscellaneous,Others,Miscellaneous
363,Miscellaneous Fees for International Nonproprietary Names (INN),Private Sector Entities,Miscellaneous Fees for International Nonproprietary Names (INN)
364,Miscellaneous Healthy Cities,Others,Miscellaneous Healthy Cities
365,Monash University (MU),Academic Institutions,Monash University (MU)
366,Mongolia,,
367,Montenegro,,
368,Morocco,,
369,Mozambique,Member States - Voluntary Specified,Mozambique
370,Mr. Michael David Lincoln Chowen CBE DL,Individuals,Mr. Michael David Lincoln Chowen CBE DL
371,Myanmar,,
372,Namibia,,
373,"National Administration of Traditional Chinese Medicine (NATCM), China (People's Republic of)",Member States - Voluntary Specified,China
374,"National Centre for Disease Prevention and Control (CCM), Italy",Member States - Voluntary Specified,Italy
375,National Emergency Response Council on HIV/AIDS (NERCHA),Member States - Voluntary Specified,Eswatini
376,"National Health Insurance Service (NHIS), Republic of Korea",Member States - Voluntary Specified,Republic of Korea
377,National Hospital Organization Kurihama Medical and Addiction Center,Non Governmental Organizations,National Hospital Organization Kurihama Medical and Addiction Center
378,"National Institute of Child Health and Human Development (NICHD), United States of America",Member States - Voluntary Specified,"National Institutes of Health (NIH), United States of America"
379,"National Institute of Infectious Diseases Prof.Dr.Matei Bals, Romania",Member States - Voluntary Specified,Romania
380,"National Institute of Public Health, Romania",Member States - Voluntary Specified,Romania
381,"National Institute on Deafness and Other Communication Disorders (NIDCD), USA",Member States - Voluntary Specified,"National Institutes of Health (NIH), United States of America"
382,"National Institutes of Health (NIH), United States of America",Member States - Voluntary Specified,United States of America
383,"National Malaria Elimination Program (NMEP), Nigeria",Member States - Voluntary Specified,Nigeria
384,National Philanthropic Trust (NPT),Non Governmental Organizations,National Philanthropic Trust (NPT)
385,"National Rehabilitation Centre (NRC) of Abu Dhabi, United Arab Emirates",Member States - Voluntary Specified,United Arab Emirates
386,Nauru,,
387,Nepal,,
388,Netherlands (Kingdom of the),Member States – Voluntary Thematic,Netherlands (Kingdom of the)
389,New Sunshine Charity Foundation,Non Governmental Organizations,New Sunshine Charity Foundation
390,New Venture Fund (NVF),Non Governmental Organizations,New Venture Fund (NVF)
391,Nicaragua,,
392,Niger,Member States - Voluntary Specified,Niger
393,Nigeria,Member States - Voluntary Specified,Nigeria
394,Niigata University,Academic Institutions,Niigata University
395,Nippon Foundation,Philanthropic Foundations,Nippon Foundation
396,Niue,,
397,"Nordic Council of Ministers, Denmark",Intergovernmental Organizations,"Nordic Council of Ministers, Denmark"
398,North Macedonia,,
399,Northern Mariana Islands,,
400,Norway,Member States - Voluntary Specified,Norway
401,Norwegian Agency for Development Cooperation (NORAD),Member States – Voluntary Thematic,Norway
