Id,Label,Category,Name
0,"23Technology Limited, United Kingdom",Private Sector Entities,"23Technology Limited, United Kingdom"
1,Acted,Non Governmental Organizations,Acted
2,Administrative support (AS),Member States - Voluntary Specified,Administrative support (AS)
3,Afghanistan,Member States - Voluntary Specified,Afghanistan
4,Africa - Regional Office,,
5,Africa Re Foundation,Private Sector Entities,Africa Re Foundation
6,African Development Bank Group,Development Banks and Funds,African Development Bank Group
7,African Field Epidemiology Network (AFENET),Non Governmental Organizations,African Field Epidemiology Network (AFENET)
8,African Union - United Nations Hybrid Operation in Darfur,United Nations Organizations,African Union - United Nations Hybrid Operation in Darfur
9,"Agence Francaise de Développement (AFD), France",Member States - Voluntary Specified,France
10,"Agencia Nacional de Vigilancia Sanitaria (ANVISA), Brazil",Member States - Voluntary Specified,Brazil
11,"Agriculture and Agri-food Canada (AAFC), Canada",Member States - Voluntary Specified,Canada
12,Albania,,
13,Algeria,,
14,Alliance for Health Policy and Systems Research (AHPSR),Others,Alliance for Health Policy and Systems Research (AHPSR)
15,Alliance for International Medical Action (ALIMA),Non Governmental Organizations,Alliance for International Medical Action (ALIMA)
16,Alwaleed Philanthropies,Philanthropic Foundations,Alwaleed Philanthropies
17,American Samoa,,
18,Americas - Regional Office,,
19,Angola,Member States - Voluntary Specified,Angola
20,Antigua and Barbuda,,
21,"AO Foundation, Switzerland",Philanthropic Foundations,"AO Foundation, Switzerland"
22,Apple Inc.,Private Sector Entities,Apple Inc.
23,Argentina,,
24,Armenia,,
25,Asia-Europe Foundation (ASEF),Intergovernmental Organizations,Asia-Europe Foundation (ASEF)
26,Assessed Contributions,Assessed Contributions,Assessed Contributions
27,Australian Federation of AIDS Organisations (AFAO),Non Governmental Organizations,Australian Federation of AIDS Organisations (AFAO)
28,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Member States - Voluntary Specified,Australia
29,Austria,Member States - Voluntary Specified,Austria
30,Austrian Development Agency (ADA),Member States - Voluntary Specified,Austria
31,Autism Speaks,Non Governmental Organizations,Autism Speaks
32,Azerbaijan,Member States - Voluntary Specified,Azerbaijan
33,Bahamas,,
34,Bahrain,,
35,Bangladesh,Member States - Voluntary Specified,Bangladesh
36,Barbados,,
37,Bayer AG,Private Sector Entities,Bayer AG
38,Becton Dickinson and Company (BD),Private Sector Entities,Becton Dickinson and Company (BD)
39,Belarus,,
40,Belgium,Member States - Voluntary Specified,Belgium
41,Belize,,
42,Benin,,
43,Bernard van Leer Foundation (BvLF),Philanthropic Foundations,Bernard van Leer Foundation (BvLF)
44,Bhutan,,
45,Bill & Melinda Gates Foundation,Philanthropic Foundations,Bill & Melinda Gates Foundation
46,"Biomedical Research and Training Institute, Zimbabwe",Non Governmental Organizations,"Biomedical Research and Training Institute, Zimbabwe"
47,Bishan Gari Purification Industries PLC.,Private Sector Entities,Bishan Gari Purification Industries PLC.
48,Bloomberg Family Foundation,Philanthropic Foundations,Bloomberg Family Foundation
49,BluAct Technologies GmbH,Private Sector Entities,BluAct Technologies GmbH
50,Bolivia (Plurinational State of),,
51,Borrow Dental Milk Foundation,Non Governmental Organizations,Borrow Dental Milk Foundation
52,Bosnia and Herzegovina,,
53,Botswana,,
54,Brazil,,
55,Bridges to Development,Non Governmental Organizations,Bridges to Development
56,Bristol-Myers Squibb Foundation,Private Sector Entities,Bristol-Myers Squibb Foundation
57,"British Embassy, Cairo, Egypt of the Foreign and Commonwealth Office",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
58,Brunei Darussalam,,
59,Bulgaria,,
60,"Bundesamt für Umwelt (BAFU), Switzerland",Member States - Voluntary Specified,Switzerland
61,Burkina Faso,Member States - Voluntary Specified,Burkina Faso
62,Burundi,,
63,"Cabinet Office, United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
64,Cabo Verde,Member States - Voluntary Specified,Cabo Verde
65,Cambodia,Member States - Voluntary Specified,Cambodia
66,Cameroon,Member States - Voluntary Specified,Cameroon
67,Canadian Food Inspection Agency (CFIA),Member States - Voluntary Specified,Canada
68,Canadian Institutes of Health Research,Member States - Voluntary Specified,Canada
69,Carter Center,Non Governmental Organizations,Carter Center
70,Catholic Relief Services,Non Governmental Organizations,Catholic Relief Services
71,CDC Foundation,Philanthropic Foundations,CDC Foundation
72,Center for Health Policies and Studies (PAS Center),Non Governmental Organizations,Center for Health Policies and Studies (PAS Center)
73,"Centers for Disease Control and Prevention (CDC), United States of America",Member States - Voluntary Specified,United States of America
74,Central African Republic,Member States - Voluntary Specified,Central African Republic
75,Central European Initiative,Intergovernmental Organizations,Central European Initiative
76,"Central Finance and Contracts Unit (CFCU), Türkiye",Member States - Voluntary Specified,Turkey
77,Chad,Member States - Voluntary Specified,Chad
78,Chiba University,Academic Institutions,Chiba University
79,Children's Investment Fund Foundation (UK),Philanthropic Foundations,Children's Investment Fund Foundation (UK)
80,Chile,,
81,China,Member States - Voluntary Specified,China
82,China Medical Board (CMB),Philanthropic Foundations,China Medical Board (CMB)
83,Christian Hansen Holding S/A,Private Sector Entities,Christian Hansen Holding S/A
84,Christian Medical College Vellore (CMC),Academic Institutions,Christian Medical College Vellore (CMC)
85,Christoffel-Blindenmission,Non Governmental Organizations,Christoffel-Blindenmission
86,Clarke Mosquito,Private Sector Entities,Clarke Mosquito
87,Clean Air Fund,Philanthropic Foundations,Clean Air Fund
88,Clinton Health Access Initiative,Philanthropic Foundations,Clinton Health Access Initiative
89,Cochlear Limited,Private Sector Entities,Cochlear Limited
90,Colombia,,
91,Community Development Fund,Non Governmental Organizations,Community Development Fund
92,Comoros,Member States - Voluntary Specified,Comoros
93,Congo,,
94,"Consumers, Health, Agriculture and Food Executive Agency (CHAFEA), European Commission",Intergovernmental Organizations,European Commission
95,Control Chemical (Pty) Ltd,Private Sector Entities,Control Chemical (Pty) Ltd
96,Cook Islands,,
97,Core Voluntary Contributions,Core Voluntary Contributions,Core Voluntary Contributions
98,Costa Rica,,
99,Côte d'Ivoire,Member States - Voluntary Specified,Côte d'Ivoire
100,COVID-19 Solidarity Fund,COVID-19 Solidarity Fund,COVID-19 Solidarity Fund
101,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund,COVID-19 Strategic Preparedness and Response Plan Member States Pool Fund
102,Croatia,,
103,Crown Agents Services Limited,Private Sector Entities,Crown Agents Services Limited
104,Cuba,,
105,Czechia,Member States - Voluntary Specified,Czechia
106,D2D Water Solutions B.V.,Private Sector Entities,D2D Water Solutions B.V.
107,David and Lucile Packard Foundation,Philanthropic Foundations,David and Lucile Packard Foundation
108,"Defense Threat Reduction Agency (DTRA), United States of America",Member States - Voluntary Specified,United States of America
109,Democratic People's Republic of Korea,,
110,Democratic Republic of the Congo,Member States - Voluntary Specified,Democratic Republic of the Congo
111,Denmark,Member States - Voluntary Specified,Denmark
112,"Department for International Development (DFID), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
113,"Department of Communications, Climate Action and Environment, Ireland",Member States – Voluntary Thematic,Ireland
114,"Department of Foreign Affairs and Trade (DFAT), Australia",Member States - Voluntary Specified,Australia
115,"Department of Foreign Affairs, Trade and Development (DFATD), Canada",Member States - Voluntary Specified,Canada
116,"Department of Health and Social Care, United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
117,"Department of Health, Philippines",Member States - Voluntary Specified,Philippines
118,Desert Rose Consultancy PLC,Private Sector Entities,Desert Rose Consultancy PLC
119,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), Germany",Member States - Voluntary Specified,Germany
120,"DG Education and Culture (EAC), European Commission",Intergovernmental Organizations,European Commission
121,"DG Environment, European Commission",Intergovernmental Organizations,European Commission
122,"DG for Employment, Social Affairs and Inclusion, European Commission",Intergovernmental Organizations,European Commission
