Id,Label,Category,Name
0,Afghanistan,Member States - Voluntary Specified,Afghanistan
1,Africa - Regional Office,Recep_Regional Office,
2,African Development Bank Group,Development Banks and Funds,African Development Bank Group
3,African Field Epidemiology Network (AFENET),Non Governmental Organizations,African Field Epidemiology Network (AFENET)
4,African Union - United Nations Hybrid Operation in Darfur,United Nations Organizations,African Union - United Nations Hybrid Operation in Darfur
5,"Agence Francaise de Développement (AFD), France",Member States - Voluntary Specified,France
6,"Agencia Nacional de Vigilancia Sanitaria (ANVISA), Brazil",Member States - Voluntary Specified,Brazil
7,"Agriculture and Agri-food Canada (AAFC), Canada",Member States - Voluntary Specified,Canada
8,Albania,Member States - Voluntary Specified,Albania
9,Algeria,Member States - Voluntary Specified,Algeria
10,Alliance for Health Policy and Systems Research (AHPSR),Others,Alliance for Health Policy and Systems Research (AHPSR)
11,Alzheimer's Association,Non Governmental Organizations,Alzheimer's Association
12,American Jewish World Service (AJWS),Non Governmental Organizations,American Jewish World Service (AJWS)
13,American Samoa,,
14,American Speech-Language-Hearing Association (ASHA),Non Governmental Organizations,American Speech-Language-Hearing Association (ASHA)
15,Americans for UNFPA,Non Governmental Organizations,Americans for UNFPA
16,Andorra,Member States - Voluntary Specified,Andorra
17,Angola,Member States - Voluntary Specified,Angola
18,Antigua and Barbuda,,
19,"AO Foundation, Switzerland",Philanthropic Foundations,"AO Foundation, Switzerland"
20,Argentina,,
21,Armenia,,
22,Asia-Europe Foundation (ASEF),Intergovernmental Organizations,Asia-Europe Foundation (ASEF)
23,Asian Development Bank,Development Banks and Funds,Asian Development Bank
24,Asian Liver Center at Stanford University,Academic Institutions,Asian Liver Center at Stanford University
25,Assessed Contributions,Assessed Contributions,Assessed Contributions
26,Association for Reproductive and Family Health (ARFH),Non Governmental Organizations,Association for Reproductive and Family Health (ARFH)
27,Australia,Member States - Voluntary Specified,Australia
28,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Member States – Voluntary Thematic,Australia
29,Australian Respiratory Council (ARCO),Non Governmental Organizations,Australian Respiratory Council (ARCO)
30,Austria,Member States - Voluntary Specified,Austria
31,Austrian Development Agency (ADA),Member States - Voluntary Specified,Austria
32,Autism Speaks,Non Governmental Organizations,Autism Speaks
33,Azerbaijan,,
34,Bahamas,,
35,Bahrain,Member States - Voluntary Specified,Bahrain
36,Bangladesh,Member States - Voluntary Specified,Bangladesh
37,Bank of Africa Fondation Madagascar(BOA),Private Sector Entities,Bank of Africa Fondation Madagascar(BOA)
38,Barbados,,
39,Barcelona Institute for Global Health (ISGlobal),Non Governmental Organizations,Barcelona Institute for Global Health (ISGlobal)
40,BASF Corporation,Private Sector Entities,BASF Corporation
41,Bayer AG,Private Sector Entities,Bayer AG
42,Becton Dickinson and Company (BD),Private Sector Entities,Becton Dickinson and Company (BD)
43,Belarus,,
44,Belgium,Member States - Voluntary Specified,Belgium
45,Belize,,
46,Benin,Member States - Voluntary Specified,Benin
47,Bhutan,,
48,Bill & Melinda Gates Foundation,Philanthropic Foundations,Bill & Melinda Gates Foundation
49,Bloomberg Family Foundation,Philanthropic Foundations,Bloomberg Family Foundation
50,Bolivia (Plurinational State of),,
51,Borrow Dental Milk Foundation,Non Governmental Organizations,Borrow Dental Milk Foundation
52,Bosnia and Herzegovina,,
53,Botswana,,
54,Brazil,Member States - Voluntary Specified,Brazil
55,Brien Holden Vision Institute (BHVI),Non Governmental Organizations,Brien Holden Vision Institute (BHVI)
56,Bristol-Myers Squibb Foundation,Private Sector Entities,Bristol-Myers Squibb Foundation
57,Brunei Darussalam,,
58,Bulgaria,,
59,"Bundesamt für Umwelt (BAFU), Switzerland",Member States - Voluntary Specified,Switzerland
60,Burkina Faso,Member States - Voluntary Specified,Burkina Faso
61,Burundi,Member States - Voluntary Specified,Burundi
62,Cabo Verde,Member States - Voluntary Specified,Cabo Verde
63,Cambodia,Member States - Voluntary Specified,Cambodia
64,Cameroon,Member States - Voluntary Specified,Cameroon
65,Canada,Member States - Voluntary Specified,Canada
66,Canadian Food Inspection Agency (CFIA),Member States - Voluntary Specified,Canada
67,Canadian Institutes of Health Research,Member States - Voluntary Specified,Canada
68,Canadian International Development Agency (CIDA/ACDI),Member States - Voluntary Specified,Canada
69,Care International,Non Governmental Organizations,Care International
70,Carter Center,Non Governmental Organizations,Carter Center
71,Catholic Relief Services,Non Governmental Organizations,Catholic Relief Services
72,CDC Foundation,Philanthropic Foundations,CDC Foundation
73,Center for Health Policies and Studies (PAS Center),Non Governmental Organizations,Center for Health Policies and Studies (PAS Center)
74,"Centers for Disease Control and Prevention (CDC), United States of America",Member States - Voluntary Specified,United States of America
75,Central African Republic,,
76,"Central Finance and Contracts Unit (CFCU), Türkiye",Member States - Voluntary Specified,Turkey
77,Chad,Member States - Voluntary Specified,Chad
78,Chiba University,Academic Institutions,Chiba University
79,Children's Investment Fund Foundation (UK),Philanthropic Foundations,Children's Investment Fund Foundation (UK)
80,Chile,,
81,China,Member States - Voluntary Specified,China
82,Christian Hansen Holding S/A,Private Sector Entities,Christian Hansen Holding S/A
83,Christian Medical College Vellore (CMC),Academic Institutions,Christian Medical College Vellore (CMC)
84,Christoffel-Blindenmission,Non Governmental Organizations,Christoffel-Blindenmission
85,Clarke Mosquito,Private Sector Entities,Clarke Mosquito
86,Clinton Health Access Initiative,Philanthropic Foundations,Clinton Health Access Initiative
87,Cochlear Limited,Private Sector Entities,Cochlear Limited
88,Colombia,,
89,Community Development Fund,Non Governmental Organizations,Community Development Fund
90,Comoros,,
91,"CONBA Group C, Ltd. (CONBA)",Private Sector Entities,"CONBA Group C, Ltd. (CONBA)"
92,Congo,Member States – Voluntary Thematic,Congo
93,"Consumers, Health, Agriculture and Food Executive Agency (CHAFEA), European Commission",Intergovernmental Organizations,European Commission
94,Cook Islands,,
95,Cooperazione Italiana - Direzione Generale per la Cooperazione allo Sviluppo (DGCS),Member States - Voluntary Specified,"Ministry of Foreign Affairs, Italy"
96,Core Voluntary Contributions,Core Voluntary Contributions,Core Voluntary Contributions
97,Costa Rica,,
98,Côte d'Ivoire,Member States - Voluntary Specified,Côte d'Ivoire
99,Croatia,,
100,Cuba,,
101,Czechia,,
102,D2D Water Solutions B.V.,Private Sector Entities,D2D Water Solutions B.V.
103,David and Lucile Packard Foundation,Philanthropic Foundations,David and Lucile Packard Foundation
104,"Defense Threat Reduction Agency (DTRA), United States of America",Member States - Voluntary Specified,United States of America
105,Democratic People's Republic of Korea,,
106,Democratic Republic of the Congo,Member States - Voluntary Specified,Democratic Republic of the Congo
107,"Department for International Development (DFID), United Kingdom",Member States - Voluntary Specified,United Kingdom of Great Britain and Northern Ireland
108,"Department of Agriculture, Fisheries and Forestry (DAFF), Australia",Member States - Voluntary Specified,Australia
109,"Department of Foreign Affairs and Trade (DFAT), Australia",Member States – Voluntary Thematic,Australia
110,"Department of Foreign Affairs, Trade and Development (DFATD), Canada",Member States - Voluntary Specified,Canada
111,"Department of Health and Ageing (DOHA), Australia",Member States - Voluntary Specified,Australia
112,"Department of Health, Philippines",Member States - Voluntary Specified,Philippines
113,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ), Germany",Member States - Voluntary Specified,Germany
114,"DG Education and Culture (EAC), European Commission",Intergovernmental Organizations,European Commission
115,"DG Environment, European Commission",Intergovernmental Organizations,European Commission
116,"DG for Employment, Social Affairs and Inclusion, European Commission",Intergovernmental Organizations,European Commission
117,"DG for Health and Food Safety (SANTE), European Commission",Intergovernmental Organizations,European Commission
118,"DG for Neighbourhood and Enlargement Negotiations (NEAR), European Commission",Intergovernmental Organizations,European Commission
119,"DG for Trade, European Commission",Intergovernmental Organizations,European Commission
120,"Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO), European Commission",Intergovernmental Organizations,European Commission
121,"Directorate-General for International Partnerships (INTPA), European Commission",Intergovernmental Organizations,European Commission
122,Djibouti,,
123,Dominica,,
124,Dominican Republic,,
125,Drugs for Neglected Diseases Initiative (DNDi),Non Governmental Organizations,Drugs for Neglected Diseases Initiative (DNDi)
126,Eastern Mediterranean - Regional Office,Recep_Regional Office,
127,Ecuador,,
128,Edmond J. Safra Foundation,Philanthropic Foundations,Edmond J. Safra Foundation
129,Egypt,Member States - Voluntary Specified,Egypt
130,"Eisai Co., Ltd.",Private Sector Entities,"Eisai Co., Ltd."
131,El Salvador,,
132,Eleanor Crook Foundation,Philanthropic Foundations,Eleanor Crook Foundation
133,"Eli Lilly and Company Foundation, UK",Private Sector Entities,"Eli Lilly and Company Foundation, UK"
134,Emirates Red Crescent,Non Governmental Organizations,Emirates Red Crescent
135,"Enabel - Belgian Development Agency, Belgium",Member States - Voluntary Specified,Belgium
136,End Fund,Non Governmental Organizations,End Fund
137,Equatorial Guinea,Member States - Voluntary Specified,Equatorial Guinea
138,Eritrea,Member States - Voluntary Specified,Eritrea
139,Estate of EB Spanjer,Individuals,Estate of EB Spanjer
140,Estonia,Member States - Voluntary Specified,Estonia
141,Eswatini,Member States - Voluntary Specified,Eswatini
142,Ethiopia,,
143,Europe - Regional Office,Recep_Regional Office,
144,European and Developing Countries Clinical Trials Partnership,Partnerships,European and Developing Countries Clinical Trials Partnership
145,European Commission,Intergovernmental Organizations,European Commission
146,European Hearing Instrument Manufacturers Association (EHIMA),Private Sector Entities,European Hearing Instrument Manufacturers Association (EHIMA)
147,European Respiratory Society (ERS),Non Governmental Organizations,European Respiratory Society (ERS)
148,European Society for Medical Oncology,Non Governmental Organizations,European Society for Medical Oncology
149,"Executive Council of the Government of the Emirate of Dubai, United Arab Emirates",Local Governments,"Executive Council of the Government of the Emirate of Dubai, United Arab Emirates"
150,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN),Partnerships,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN)
151,Family Health International (FHI),Non Governmental Organizations,Family Health International (FHI)
152,"Federal Foreign Office, Germany",Member States - Voluntary Specified,Germany
153,"Federal Ministry for Economic Cooperation and Development (BMZ), Germany",Member States - Voluntary Specified,Germany
154,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety, Germany",Member States - Voluntary Specified,Germany
155,"Federal Ministry of Education and Research (BMBF), Germany",Member States - Voluntary Specified,Germany
156,"Federal Ministry of Food and Agriculture (BMEL), Germany",Member States - Voluntary Specified,Germany
157,"Federal Office of Public Health (FOPH), Switzerland",Member States – Voluntary Thematic,Switzerland
158,"Federal Public Service of Foreign Affairs, Foreign Trade and Development Cooperation, Belgium",Member States - Voluntary Specified,Belgium
159,FIA Foundation,Non Governmental Organizations,FIA Foundation
